adaptation_id,path,delta_id,relation,join_basis,semantic_attribution
A-KERNEL-ASM,kernel/keyboard.s,D:kernel/keyboard.s,source_change,declared_glob,broad
,kernel/panic.c,D:kernel/panic.c,source_change,none,unresolved
,kernel/printk.c,D:kernel/printk.c,source_change,none,unresolved
A-KERNEL-ASM,kernel/rs_io.s,D:kernel/rs_io.s,source_change,declared_glob,broad
,kernel/sched.c,D:kernel/sched.c,source_change,none,unresolved
A-UART-115200,kernel/serial.c,D:kernel/serial.c,source_change,explicit_path,exact
,kernel/sys.c,D:kernel/sys.c,source_change,none,unresolved
A-KERNEL-ASM,kernel/system_call.s,D:kernel/system_call.s,source_change,declared_glob,broad
,kernel/traps.c,D:kernel/traps.c,source_change,none,unresolved
A-CONSOLE-DEDUPE,kernel/tty_io.c,D:kernel/tty_io.c,source_change,explicit_path,exact
A-VGA-80X50,kernel/vga_font8x8.h,D:kernel/vga_font8x8.h,added_source,explicit_path,exact
A-VGA-80X50,kernel/vga_text50.c,D:kernel/vga_text50.c,added_source,explicit_path,exact
A-VSPRINTF-O1,kernel/vsprintf.c,D:kernel/vsprintf.c,source_change,explicit_path,exact
,lib/_exit.c,D:lib/_exit.c,source_change,none,unresolved
A-LIB-OPEN,lib/open.c,D:lib/open.c,source_change,explicit_path,exact
,lib/sync.c,D:lib/sync.c,source_change,none,unresolved
A-MM-COMPAT,mm/memory.c,D:mm/memory.c,source_change,explicit_path,exact
A-MM-COMPAT,mm/page.s,D:mm/page.s,source_change,explicit_path,exact
